대한민국 경상남도 창원시 성산구 사파동,"['35.2221815', '128.6984256']",2
대한민국 경상남도 창원시 성산구 상남동 18-5번지 1층,"['35.2212137', '128.6853322']",51
대한민국 경상남도 창원시 성산구 남산동 601-4,"['35.2014339', '128.6978707']",124
대한민국 경상남도 창원시 성산구 남양동 가양로 99,"['35.2097915', '128.7044001']",112
대한민국 반림동,"['35.239574', '128.66658']",121
대한민국 사파동 106 개나리1차아파트,"['35.2139613', '128.7087578']",24
대한민국 경상남도 창원시 창원시 성산구 대방동 창이대로899번길 23,"['35.205867', '128.709421']",78
대한민국 경상남도 창원시 성산구 가음동 38-1,"['35.2067111', '128.7004536']",8
대한민국 경상남도 창원시 성산구 가음동,"['35.2070165', '128.6942598']",56
웅남동 마산항 제4부두,"['35.2024326', '128.5962408']",89
대한민국 경상남도 창원시 성산구 사파동 98,"['35.2224592', '128.6996755']",18
대한민국 경상남도 창원시 성산구 안민동 195-2,"['35.1871108', '128.6878489']",13
대한민국 경상남도 창원시 성산구 대방동 367,"['35.2065467', '128.7074699']",965
대한민국 서울특별시 동작구 상도동 상도로 346-1,"['37.4953154', '126.9511364']",27
대한민국 경상남도 창원시 성산구 상남동 번지 1층 4-5 KR,"['35.2231221', '128.6864313']",9
대한민국 경상남도 창원시 성산구 상남동 동산로 73 주민센터,"['35.2162653', '128.6872046']",6
대한민국 경상남도 창원시 성산구 가음동 24-4,"['35.2060722', '128.6966762']",219
대한민국 경상남도 창원시 성산구 사파동,"['35.2216259', '128.6968702']",5
대한민국 경상남도 창원시 성산구 중앙동 중앙대로 75,"['35.2219589', '128.6774831']",136
대한민국 경상남도 창원시 성산구 상남동 12-3,"['35.2226812', '128.6860657']",34
대한민국 경상남도 창원시 성산구 대방동 374,"['35.2039615', '128.7069809']",60
대한민국 서울특별시 동작구 신대방동,"['37.4917374', '126.9251157']",173
대한민국 경상남도 창원시 창원시 성산구 상남동 단정로 75,"['35.21831299999999', '128.6882329']",74
대한민국 경상남도 창원시 창원시 마산합포구 상남동 북성로 96,"['35.2157536', '128.5705675']",60
대한민국 경상남도 창원시 창원시 성산구 가음정동 가음로92번길 34,"['35.2035861', '128.7006319']",235
대한민국 서울특별시 동작구 신대방2동 여의대방로 122,"['37.497749', '126.9203703']",1
대한민국 경상남도 창원시 성산구 대방동 대암로 272,"['35.204437', '128.709338']",163
대한민국 경상남도 창원시 성산구 천선동 1155-13,"['35.1864078', '128.6941214']",27
대한민국 경상남도 창원시 성산구 외동 853-7,"['35.2087105', '128.6797333']",90
대한민국 경상남도 창원시 성산구 사파동 143,"['35.2211537', '128.6956481']",97
대한민국 경상남도 창원시 성산구 안민동 150,"['35.1858332', '128.6899628']",41
대한민국 경상남도 창원시 성산구 천선동 1160-2,"['35.1857135', '128.6934826']",54
대한민국 경상남도 창원시 성산구 안민동 108,"['35.1853524', '128.6920383']",112
대한민국 경상남도 창원시 성산구 상남동 97-3,"['35.2182087', '128.6832952']",274
대한민국 중앙동,"['35.215061', '128.681757']",10
대한민국 경상남도 창원시 성산구 상남동 73-5,"['35.2201813', '128.6792608']",39
대한민국 경상남도 창원시 성산구 가음정동,"['35.2135434', '128.6855937']",18
대한민국 경상남도 창원시 성산구 상남동 73-3,"['35.2207091', '128.6799552']",61
대한민국 경상남도 창원시 성산구 가음동,"['35.2073776', '128.6956763']",2
대한민국 경상남도 창원시 성산구 남양동 17,"['35.21301589999999', '128.6987592']",117
대한민국 경상남도 창원시 성산구 중앙동 중앙대로 64,"['35.2204868', '128.6782331']",92
대한민국 경상남도 창원시 성산구 상남동 마디미로21번길 5,"['35.2223568', '128.685107']",35
대한민국 경상남도 창원시 성산구 반림동 19,"['35.2355842', '128.6754269']",17
대한민국 경상남도 창원시 성산구 상남동 31-10,"['35.2197311', '128.6805096']",4
대한민국 경상남도 창원시 성산구 반림동 10,"['35.2362626', '128.6675948']",65
대한민국 경상남도 창원시 성산구 상남동 20-5번지 렉스타운 2층 201호,"['35.22067639999999', '128.6848641']",18
대한민국 경상남도 창원시 성산구 중앙동 98-2,"['35.2228477', '128.6767054']",24
대한민국 경상남도 창원시 성산구 성주동 24-11,"['35.192574', '128.7052313']",43
